Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Harry Rogers,Career,ABA,18,,16.6,3.3,6.9,0.484,0.0,0.1,0.0,3.3,6.8,0.49200000000000005,0.484,0.9,1.3,0.708,2.1,3.2,5.3,0.8,0.7,0.3,1.2,1.9,7.6
Johnny Rogers,Career,NBA,69,15,9.2,1.7,3.6,.472,0.0,0.1,.000,1.7,3.5,.485,.472,0.3,0.4,.679,0.6,1.0,1.5,0.4,0.2,0.2,0.4,1.3,3.6
Marshall Rogers,Career,NBA,26,,6.8,1.7,4.5,0.371,,,,,,,,0.5,0.6,0.9329999999999999,0.2,0.2,0.4,0.4,0.3,0.1,,1.3,3.8
Rodney Rogers,Career,NBA,866.0,347.0,25.3,4.2,9.2,0.451,0.8,2.3,0.34700000000000003,3.4,6.9,0.486,0.494,1.8,2.6,0.69,1.5,3.0,4.5,2.0,1.0,0.5,1.9,3.1,10.9
Roy Rogers,Career,NBA,137,50,16.9,2.1,4.4,.483,0.0,0.0,.500,2.1,4.3,.483,.484,0.5,1.0,.532,1.3,2.2,3.5,0.4,0.2,1.5,0.7,2.0,4.8
Willie Rogers,Career,ABA,40,,7.4,0.7,2.0,0.33799999999999997,0.0,0.1,0.0,0.7,1.9,0.35100000000000003,0.33799999999999997,0.8,1.3,0.596,0.4,0.8,1.2,0.4,,,0.8,1.3,2.1
Al Roges,Career,NBA,84.0,,25.5,2.9,8.0,0.36,,,,,,,,1.7,2.4,0.7140000000000001,,,2.8,2.1,,,,2.3,7.5
Ken Rohloff,Career,NBA,2,,3.5,0.0,0.5,0.0,,,,,,,,0.0,0.0,,,,0.0,0.5,,,,2.0,0.0
Kenny Rollins,Career,TOT,168,,9.9,1.9,6.3,.309,,,,,,,,1.0,1.3,.750,,,1.0,2.0,,,,2.0,4.9
Phil Rollins,Career,NBA,177.0,,15.5,2.0,5.1,0.385,,,,,,,,1.1,1.7,0.649,,,2.2,2.6,,,,1.8,5.1
Tree Rollins,Career,NBA,1156.0,463.0,20.8,2.2,4.3,0.522,0.0,0.0,0.0,2.2,4.3,0.523,0.522,0.9,1.3,0.7,1.9,4.0,5.8,0.6,0.4,2.2,0.9,2.9,5.4
Lorenzo Romar,Career,NBA,291.0,84.0,17.8,2.5,5.3,0.46399999999999997,0.1,0.3,0.21100000000000002,2.4,5.0,0.479,0.47,0.9,1.2,0.7490000000000001,0.2,1.1,1.3,3.5,0.8,0.1,1.2,1.4,5.9
Rajon Rondo,Career,NBA,900.0,731.0,30.6,4.2,9.2,0.457,0.4,1.4,0.319,3.7,7.8,0.48200000000000004,0.48200000000000004,1.2,2.0,0.606,1.0,3.7,4.7,8.1,1.6,0.1,2.8,2.1,10.0
Jerry Rook,Career,ABA,28,,5.5,1.3,2.9,0.451,0.0,0.1,0.0,1.3,2.9,0.46299999999999997,0.451,0.4,0.5,0.846,0.4,0.7,1.1,0.4,,,0.6,0.8,3.0
Sean Rooks,Career,NBA,749,230,18.1,2.3,5.0,.459,0.0,0.0,.091,2.3,4.9,.461,.459,1.7,2.4,.699,1.3,2.6,3.8,0.8,0.3,0.7,1.1,2.2,6.2
Derrick Rose,Career,NBA,624,507,32.2,7.2,15.9,.455,0.8,2.6,.307,6.4,13.3,.484,.480,3.3,3.9,.827,0.8,2.5,3.4,5.5,0.8,0.3,2.6,1.3,18.5
Jalen Rose,Career,NBA,923.0,572.0,30.3,5.3,11.9,0.44299999999999995,0.8,2.3,0.355,4.4,9.6,0.46399999999999997,0.47700000000000004,3.0,3.7,0.8009999999999999,0.5,2.9,3.5,3.8,0.8,0.3,2.3,2.6,14.3
Malik Rose,Career,NBA,813.0,85.0,16.5,2.2,5.0,0.43700000000000006,0.0,0.1,0.177,2.2,5.0,0.442,0.43799999999999994,1.7,2.3,0.743,1.4,2.7,4.1,0.8,0.6,0.4,1.3,2.3,6.2
Rob Rose,Career,NBA,2,0,1.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Petey Rosenberg,Career,BAA,51,,,1.2,5.6,0.209,,,,,,,,0.6,1.0,0.612,,,,0.5,,,,1.3,2.9
Lennie Rosenbluth,Career,NBA,82,,7.0,1.6,5.0,0.327,,,,,,,,0.9,1.4,0.655,,,1.8,0.4,,,,0.7,4.2
Hank Rosenstein,Career,BAA,60.0,,,2.0,6.5,0.305,,,,,,,,2.4,3.8,0.64,,,,0.6,,,,2.9,6.4
Dick Rosenthal,Career,NBA,85,,18.8,2.6,7.1,.362,,,,,,,,1.6,2.3,.702,,,4.1,2.0,,,,2.4,6.8
Quinton Ross,Career,NBA,458.0,169.0,18.5,1.7,4.0,0.419,0.1,0.3,0.318,1.6,3.6,0.428,0.43200000000000005,0.6,0.9,0.711,0.6,1.5,2.1,0.9,0.6,0.3,0.5,1.9,4.1
Terrence Ross,Career,NBA,599.0,178.0,25.0,4.1,9.9,0.419,1.9,5.2,0.369,2.2,4.7,0.475,0.516,1.1,1.3,0.8370000000000001,0.4,2.5,2.9,1.2,0.9,0.3,1.0,1.8,11.3
Doug Roth,Career,NBA,42,0,9.8,0.9,2.0,0.43,0.0,0.0,0.0,0.9,2.0,0.435,0.43,0.2,0.3,0.5,1.0,1.8,2.9,0.5,0.2,0.3,0.4,1.7,1.9
Scott Roth,Career,NBA,160.0,6.0,11.2,1.6,4.1,0.375,0.1,0.5,0.29100000000000004,1.4,3.6,0.387,0.39299999999999996,1.5,2.0,0.73,0.4,0.9,1.3,1.2,0.5,0.1,0.9,1.6,4.7
Irv Rothenberg,Career,BAA,131.0,,,1.8,6.9,0.267,,,,,,,,1.7,2.9,0.606,,,,0.7,,,,2.7,5.4
Mickey Rottner,Career,BAA,100,,,2.4,8.4,0.29,,,,,,,,0.5,1.1,0.478,,,,1.4,,,,1.6,5.4
Dan Roundfield,Career,TOT,813,270,29.8,5.4,11.3,.482,0.0,0.1,.111,5.4,11.2,.485,.483,3.5,4.7,.735,3.2,6.1,9.2,2.0,0.9,1.4,2.5,3.3,14.3
Giff Roux,Career,BAA,151.0,,,1.6,5.7,0.28,,,,,,,,0.9,1.8,0.511,,,,0.3,,,,1.2,4.1
Ron Rowan,Career,NBA,7,0,2.3,0.6,1.3,0.444,0.1,0.1,1.0,0.4,1.1,0.375,0.5,0.4,0.6,0.75,0.1,0.0,0.1,0.1,0.6,0.0,0.4,0.1,1.7
Curtis Rowe,Career,NBA,590.0,,31.0,4.8,9.9,0.48200000000000004,,,,,,,,2.1,3.0,0.701,2.1,4.4,7.2,1.6,0.5,0.5,1.6,2.3,11.6
Jim Rowinski,Career,NBA,23.0,0.0,5.5,0.7,1.6,0.41700000000000004,0.0,0.0,,0.7,1.6,0.41700000000000004,0.41700000000000004,1.2,1.4,0.8440000000000001,0.8,0.7,1.5,0.2,0.0,0.1,0.4,0.8,2.5
Derrick Rowland,Career,NBA,2,0,4.5,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.5
Brian Rowsom,Career,NBA,82.0,2.0,13.3,1.9,4.2,0.455,0.0,0.0,0.667,1.9,4.2,0.45299999999999996,0.45799999999999996,1.7,2.1,0.818,1.2,2.1,3.3,0.6,0.4,0.3,0.5,1.6,5.6
Brandon Roy,Career,NBA,326,300,35.5,6.8,14.9,.459,1.0,2.8,.348,5.8,12.0,.485,.492,4.2,5.2,.800,1.1,3.2,4.3,4.7,1.0,0.2,1.8,1.9,18.8
Donald Royal,Career,NBA,504,88,16.8,1.9,4.0,.473,0.0,0.0,.000,1.9,4.0,.477,.473,2.4,3.2,.770,1.1,1.7,2.8,1.0,0.5,0.2,1.1,1.7,6.3
