Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Wayne Hightower,Career,TOT,565.0,,27.4,4.1,10.8,0.381,0.0,0.1,0.0,4.1,10.8,0.382,0.381,3.4,4.5,0.752,2.7,6.2,7.0,1.7,,,2.3,3.0,11.6
Nenê Hilário,Career,NBA,965.0,626.0,26.2,4.3,7.9,0.5479999999999999,0.0,0.1,0.132,4.3,7.8,0.551,0.5479999999999999,2.6,4.0,0.66,1.7,4.3,6.0,1.8,1.1,0.7,1.7,3.0,11.3
Armond Hill,Career,NBA,468.0,23.0,25.2,2.5,6.0,0.408,0.0,0.1,0.077,2.5,6.0,0.41,0.408,2.0,2.4,0.8290000000000001,0.5,1.5,2.0,4.7,1.2,0.1,2.2,3.1,6.9
Cleo Hill,Career,NBA,58,,18.1,1.8,5.3,0.34600000000000003,,,,,,,,1.8,2.4,0.774,,,3.1,2.0,,,,1.7,5.5
Gary Hill,Career,NBA,79.0,,14.2,2.0,5.3,0.371,,,,,,,,0.7,1.2,0.637,,,1.6,1.4,,,,2.2,4.7
George Hill,Career,NBA,799.0,463.0,27.7,3.9,8.6,0.45799999999999996,1.2,3.2,0.384,2.7,5.4,0.501,0.529,2.0,2.5,0.804,0.6,2.5,3.1,3.2,0.9,0.3,1.2,2.0,11.1
Grant Hill,Career,NBA,1026,972,33.9,6.2,12.8,.483,0.2,0.7,.314,6.0,12.1,.493,.492,4.1,5.4,.769,1.1,4.9,6.0,4.1,1.2,0.6,2.4,2.3,16.7
Jordan Hill,Career,NBA,409.0,120.0,18.8,3.3,6.7,0.49700000000000005,0.0,0.1,0.136,3.3,6.6,0.499,0.49700000000000005,1.3,1.8,0.6990000000000001,2.1,3.7,5.8,0.8,0.4,0.7,1.0,2.1,7.9
Simmie Hill,Career,ABA,252,,23.2,4.0,9.2,.432,0.1,0.5,.293,3.8,8.7,.440,.440,1.6,2.1,.763,1.9,3.4,5.3,1.3,0.2,0.3,1.9,3.2,9.7
Solomon Hill,Career,NBA,412.0,175.0,21.7,1.9,5.0,0.392,0.8,2.5,0.336,1.1,2.5,0.447,0.475,0.9,1.2,0.8009999999999999,0.6,2.4,3.1,1.5,0.7,0.2,0.9,1.7,5.7
Steven Hill,Career,NBA,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
Tyrone Hill,Career,NBA,801.0,610.0,28.0,3.5,7.0,0.502,0.0,0.0,0.0,3.5,7.0,0.503,0.502,2.3,3.6,0.643,3.0,5.6,8.6,0.8,0.8,0.5,1.6,3.6,9.4
Art Hillhouse,Career,BAA,71,,,1.9,6.8,0.27699999999999997,,,,,,,,2.1,2.9,0.7390000000000001,,,,0.6,,,,2.4,5.9
Darrun Hilliard,Career,NBA,91.0,3.0,9.4,1.1,3.0,0.377,0.3,1.1,0.304,0.8,1.9,0.42,0.433,0.6,0.8,0.747,0.1,0.9,0.9,0.8,0.2,0.0,0.6,0.8,3.2
Darnell Hillman,Career,TOT,682.0,,25.8,4.0,8.3,0.47700000000000004,0.0,0.1,0.16699999999999998,4.0,8.3,0.478,0.47700000000000004,1.8,2.9,0.628,2.5,5.1,7.6,1.4,0.9,1.3,2.0,3.7,9.8
Fred Hilton,Career,NBA,120,,17.3,4.2,10.7,0.38799999999999996,,,,,,,,1.1,1.5,0.7490000000000001,,,2.1,1.6,,,,2.0,9.4
Kirk Hinrich,Career,NBA,879.0,665.0,30.7,4.0,9.7,0.41100000000000003,1.3,3.6,0.375,2.7,6.1,0.43200000000000005,0.48,1.6,2.0,0.8,0.4,2.6,2.9,4.8,1.1,0.3,1.8,2.8,10.9
Roy Hinson,Career,NBA,507.0,391.0,30.7,5.5,11.0,0.499,0.0,0.0,0.0,5.5,11.0,0.5,0.499,3.3,4.4,0.741,2.1,4.7,6.8,1.0,0.6,1.7,2.0,3.7,14.2
Nate Hinton,Career,NBA,10,0,3.9,0.7,1.9,0.368,0.1,0.6,0.16699999999999998,0.6,1.3,0.462,0.395,0.4,0.6,0.667,0.0,0.3,0.3,0.4,0.4,0.1,0.4,0.2,1.9
Mel Hirsch,Career,BAA,13,,,0.7,3.5,0.2,,,,,,,,0.1,0.2,0.5,,,,0.8,,,,1.4,1.5
Lew Hitch,Career,NBA,414.0,,20.2,1.8,4.9,0.376,,,,,,,,1.3,2.0,0.674,,,5.3,1.2,,,,1.7,5.0
Robert Hite,Career,NBA,12,0,11.3,1.6,5.0,0.317,0.4,1.9,0.217,1.2,3.1,0.37799999999999995,0.358,0.7,1.0,0.667,0.3,1.0,1.3,0.7,0.3,0.2,0.5,0.7,4.3
Jaylen Hoard,Career,NBA,13,0,7.9,1.2,2.5,0.469,0.0,0.2,0.0,1.2,2.2,0.517,0.469,0.6,1.0,0.615,1.1,1.4,2.5,0.3,0.4,0.0,0.3,0.9,2.9
Darington Hobson,Career,NBA,5,0,7.8,0.4,2.6,0.154,0.0,1.2,0.0,0.4,1.4,0.28600000000000003,0.154,0.0,0.0,,0.0,0.6,0.6,1.2,0.0,0.0,0.4,0.2,0.8
Donald Hodge,Career,NBA,249.0,35.0,14.1,1.9,4.2,0.43700000000000006,0.0,0.1,0.28600000000000003,1.8,4.2,0.439,0.439,1.0,1.4,0.711,1.2,2.0,3.2,0.8,0.3,0.4,0.9,2.1,4.7
Julius Hodge,Career,NBA,23.0,1.0,4.3,0.5,1.1,0.44,0.0,0.0,,0.5,1.1,0.44,0.44,0.3,0.5,0.5,0.3,0.3,0.7,0.8,0.3,0.0,0.5,0.6,1.2
Craig Hodges,Career,NBA,695,256,21.7,3.4,7.4,.461,0.8,2.0,.400,2.6,5.4,.484,.516,0.9,1.1,.828,0.4,0.9,1.3,2.5,0.8,0.0,1.2,2.0,8.5
Charlie Hoefer,Career,BAA,65.0,,,2.0,8.2,0.25,,,,,,,,1.5,2.3,0.6459999999999999,,,,0.6,,,,2.4,5.6
Paul Hoffman,Career,TOT,317,,28.7,3.6,10.6,.340,,,,,,,,3.0,4.5,.676,,,5.1,2.9,,,,3.6,10.2
Bob Hogsett,Career,TOT,20.0,,7.1,0.6,1.8,0.33299999999999996,0.0,0.0,,0.6,1.8,0.33299999999999996,0.33299999999999996,0.7,1.2,0.565,,,1.3,0.1,,,0.3,0.8,1.9
Paul Hogue,Career,NBA,65.0,,22.9,2.5,6.9,0.365,,,,,,,,1.2,2.8,0.44799999999999995,,,7.1,0.7,,,,3.9,6.3
Fred Hoiberg,Career,NBA,541.0,61.0,18.4,1.8,4.1,0.431,0.7,1.7,0.396,1.1,2.4,0.456,0.514,1.2,1.4,0.8540000000000001,0.3,2.4,2.7,1.6,0.8,0.1,0.5,1.4,5.4
Doug Holcomb,Career,BAA,3,,,1.0,4.0,0.25,,,,,,,,3.0,4.7,0.643,,,,1.7,,,,1.7,5.0
Randy Holcomb,Career,NBA,4,0,2.8,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.5
Aaron Holiday,Career,NBA,161,39,18.9,2.8,7.0,0.401,1.1,3.0,0.36200000000000004,1.7,4.0,0.43,0.478,0.9,1.1,0.8190000000000001,0.2,1.5,1.7,2.4,0.6,0.2,1.0,1.6,7.6
Jrue Holiday,Career,NBA,750.0,674.0,33.2,6.3,13.8,0.455,1.3,3.7,0.35600000000000004,5.0,10.1,0.49200000000000005,0.503,2.0,2.6,0.779,0.9,3.1,3.9,6.3,1.5,0.5,2.7,2.3,15.9
Justin Holiday,Career,NBA,477.0,206.0,23.9,2.9,7.4,0.39899999999999997,1.6,4.3,0.363,1.4,3.1,0.449,0.505,1.0,1.2,0.823,0.4,2.6,3.0,1.5,1.0,0.4,0.9,1.6,8.4
Brad Holland,Career,NBA,93.0,3.0,7.4,1.3,3.2,0.40299999999999997,0.0,0.2,0.19,1.2,2.9,0.419,0.41,0.6,0.8,0.746,0.2,0.4,0.6,0.7,0.5,0.0,0.6,0.9,3.2
Joe Holland,Career,NBA,186,,13.4,2.3,7.1,0.331,,,,,,,,1.2,1.9,0.621,,,4.2,1.8,,,,2.9,5.8
John Holland,Career,NBA,25,0,7.0,0.7,2.4,0.28800000000000003,0.4,1.4,0.306,0.2,0.9,0.261,0.381,0.4,0.5,0.6920000000000001,0.2,0.7,1.0,0.2,0.3,0.1,0.3,0.4,2.2
Wilbur Holland,Career,NBA,276.0,,29.6,5.8,12.9,0.452,,,,,,,,2.0,2.5,0.799,1.0,2.1,3.1,3.3,1.7,0.2,2.5,2.7,13.6
Lionel Hollins,Career,NBA,673.0,234.0,27.4,4.8,10.7,0.444,0.0,0.2,0.149,4.7,10.6,0.44799999999999995,0.445,2.1,2.8,0.741,0.6,1.8,2.4,4.5,1.6,0.3,2.6,2.7,11.6
Ryan Hollins,Career,NBA,518.0,76.0,11.8,1.3,2.3,0.584,0.0,0.0,0.0,1.3,2.3,0.584,0.584,1.0,1.6,0.649,0.9,1.3,2.2,0.3,0.2,0.5,0.7,2.0,3.7
Essie Hollis,Career,NBA,25,,6.2,1.2,3.0,0.4,,,,,,,,0.4,0.5,0.75,0.8,1.0,1.8,0.2,0.4,0.0,0.6,1.1,2.8
Rondae Hollis-Jefferson,Career,NBA,294.0,153.0,22.6,3.4,7.6,0.44799999999999995,0.1,0.7,0.213,3.2,6.8,0.47200000000000003,0.45799999999999996,2.4,3.2,0.738,1.5,4.2,5.6,1.9,0.9,0.5,1.3,2.1,9.3
Dennis Holman,Career,ABA,46,,12.0,1.2,3.3,0.359,0.1,0.2,0.444,1.1,3.1,0.354,0.373,1.3,2.2,0.602,,,1.7,1.6,,,0.9,1.8,3.8
Richaun Holmes,Career,NBA,315.0,107.0,20.4,3.8,6.4,0.596,0.1,0.5,0.256,3.7,5.9,0.625,0.606,1.5,2.1,0.7390000000000001,1.8,3.7,5.6,1.0,0.6,1.1,0.9,2.7,9.2
Jim Holstein,Career,NBA,225.0,,15.4,1.4,4.4,0.32299999999999995,,,,,,,,1.0,1.5,0.647,,,2.9,1.1,,,,1.9,3.8
A.W. Holt,Career,NBA,6,,2.3,0.2,1.3,0.125,,,,,,,,0.3,0.5,0.667,,,0.7,0.0,,,,0.2,0.7
Michael Holton,Career,NBA,325.0,122.0,18.0,2.4,5.6,0.441,0.1,0.3,0.257,2.4,5.2,0.45299999999999996,0.449,1.2,1.5,0.807,0.4,1.0,1.4,3.0,0.6,0.1,1.3,1.8,6.2
Dick Holub,Career,BAA,48,,,4.1,13.8,0.295,,,,,,,,2.4,3.8,0.633,,,,0.8,,,,3.3,10.5
Joe Holup,Career,NBA,192.0,,18.4,2.4,7.0,0.342,,,,,,,,2.2,2.8,0.7809999999999999,,,4.4,1.0,,,,2.7,7.0
Red Holzman,Career,TOT,358.0,,13.0,2.3,7.3,0.317,,,,,,,,1.4,2.1,0.682,,,1.5,2.0,,,,1.3,6.1
Jerald Honeycutt,Career,NBA,54.0,0.0,11.7,1.8,4.7,0.391,0.6,1.7,0.36200000000000004,1.2,2.9,0.409,0.45799999999999996,0.8,1.3,0.632,0.6,1.4,1.9,0.7,0.5,0.1,1.1,1.8,5.1
Tyler Honeycutt,Career,NBA,24,0,5.0,0.5,1.5,0.314,0.0,0.2,0.2,0.4,1.3,0.33299999999999996,0.32899999999999996,0.2,0.3,0.7140000000000001,0.3,0.8,1.0,0.4,0.2,0.2,0.3,0.2,1.2
Derek Hood,Career,NBA,2,0,2.0,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Rodney Hood,Career,NBA,383.0,253.0,26.4,4.2,10.0,0.423,1.6,4.3,0.368,2.6,5.6,0.465,0.503,1.6,1.9,0.838,0.4,2.4,2.8,1.8,0.7,0.2,1.1,2.1,11.6
Bobby Hooper,Career,ABA,54,,17.7,2.1,5.0,0.413,0.1,0.6,0.125,2.0,4.4,0.452,0.42100000000000004,0.8,1.1,0.7290000000000001,0.6,1.4,2.0,2.6,,,1.0,1.7,5.0
Carroll Hooser,Career,ABA,56,,12.9,2.3,5.3,0.431,0.0,0.0,1.0,2.3,5.3,0.429,0.433,1.1,1.5,0.711,,,3.9,0.5,,,0.9,2.5,5.6
Tom Hoover,Career,TOT,223,,19.2,2.2,4.8,.447,0.0,0.1,.333,2.1,4.8,.448,.448,1.6,2.5,.626,2.7,6.2,6.2,1.1,,,2.5,3.4,5.9
Bob Hopkins,Career,NBA,273,,18.8,3.1,7.9,.394,,,,,,,,1.9,2.5,.761,,,5.6,0.7,,,,2.4,8.2
Dave Hoppen,Career,NBA,169.0,46.0,14.2,1.9,3.7,0.518,0.0,0.0,0.2,1.9,3.7,0.521,0.519,1.1,1.4,0.7509999999999999,1.3,2.5,3.8,0.6,0.3,0.2,0.8,2.3,5.0
Dennis Hopson,Career,NBA,334,119,22.5,4.1,9.6,.431,0.2,0.7,.271,3.9,8.9,.443,.440,2.5,3.2,.765,1.3,1.6,2.8,1.6,1.0,0.5,1.6,2.0,10.9
Scotty Hopson,Career,NBA,3.0,0.0,5.0,0.0,1.7,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.7,1.3,0.5,0.0,0.0,0.0,0.7,0.3,0.0,0.3,0.0,0.7
Johnny Horan,Career,NBA,19.0,,4.9,0.6,2.2,0.28600000000000003,,,,,,,,0.5,0.6,0.909,,,0.5,0.1,,,,1.1,1.8
Cedrick Hordges,Career,NBA,145,1.0,20.5,2.9,6.2,0.475,0.0,0.1,0.188,2.9,6.1,0.48100000000000004,0.47700000000000004,1.7,2.7,0.639,1.6,4.2,5.9,1.2,0.4,0.3,1.6,3.1,7.6
Al Horford,Career,NBA,881.0,871.0,32.5,5.9,11.3,0.517,0.6,1.6,0.364,5.3,9.7,0.5429999999999999,0.5429999999999999,1.6,2.2,0.755,2.1,6.1,8.2,3.3,0.8,1.2,1.6,2.3,13.9
Tito Horford,Career,NBA,63,0,6.0,0.5,1.7,.300,0.0,0.0,,0.5,1.7,.300,.300,0.4,0.7,.628,0.5,0.9,1.3,0.1,0.1,0.4,0.5,0.8,1.5
Ron Horn,Career,TOT,32,,10.0,0.9,3.0,.292,0.0,0.0,,0.9,3.0,.292,.292,0.7,1.0,.697,,,2.4,0.3,,,1.0,1.6,2.5
Jeff Hornacek,Career,NBA,1077.0,910.0,31.5,5.5,11.1,0.496,0.8,1.9,0.40299999999999997,4.7,9.2,0.515,0.53,2.8,3.1,0.877,0.9,2.5,3.4,4.9,1.4,0.2,1.8,2.2,14.5
Dennis Horner,Career,NBA,8,0,2.8,0.1,0.5,0.25,0.0,0.1,0.0,0.1,0.4,0.33299999999999996,0.25,0.4,0.5,0.75,0.3,0.4,0.6,0.0,0.0,0.0,0.1,0.1,0.6
Robert Horry,Career,NBA,1107.0,480.0,24.5,2.5,6.0,0.425,0.7,2.1,0.341,1.8,3.9,0.469,0.484,1.2,1.6,0.726,1.5,3.3,4.8,2.1,1.0,0.9,1.2,2.4,7.0
Ed Horton,Career,NBA,45,10,8.3,1.8,3.6,0.494,0.0,0.1,0.0,1.8,3.5,0.506,0.494,0.9,1.5,0.609,1.3,1.1,2.4,0.4,0.2,0.1,0.9,1.4,4.5
Talen Horton-Tucker,Career,NBA,51,2,18.1,3.0,6.8,0.447,0.5,1.9,0.255,2.5,4.9,0.522,0.483,1.2,1.5,0.8109999999999999,0.4,2.1,2.4,2.1,0.9,0.4,1.4,2.0,7.7
Bill Hosket,Career,NBA,143.0,,9.8,1.6,3.4,0.485,,,,,,,,0.7,1.0,0.715,,,2.5,0.7,,,,1.5,4.0
Bob Houbregs,Career,NBA,281.0,,23.9,3.2,8.0,0.40399999999999997,,,,,,,,2.8,3.9,0.721,,,5.5,1.8,,,,2.5,9.3
Danuel House,Career,NBA,156.0,88.0,26.5,3.2,7.4,0.433,1.7,4.7,0.368,1.5,2.8,0.5429999999999999,0.5479999999999999,1.2,1.6,0.7709999999999999,0.7,3.1,3.9,1.3,0.7,0.4,0.8,1.9,9.4
Eddie House,Career,NBA,717.0,31.0,17.3,2.9,7.1,0.409,1.1,2.9,0.39,1.8,4.2,0.423,0.49,0.5,0.6,0.851,0.2,1.5,1.7,1.6,0.7,0.1,0.8,1.3,7.5
Allan Houston,Career,NBA,839.0,727.0,33.7,6.4,14.3,0.444,1.6,3.9,0.402,4.8,10.5,0.46,0.498,3.1,3.6,0.863,0.4,2.5,2.9,2.4,0.7,0.2,2.1,2.5,17.3
Byron Houston,Career,NBA,214.0,10.0,12.5,1.4,3.1,0.456,0.0,0.2,0.256,1.4,3.0,0.46799999999999997,0.46399999999999997,1.0,1.5,0.6759999999999999,1.1,1.9,3.0,0.5,0.5,0.4,0.8,2.5,3.9
Tom Hovasse,Career,NBA,2,0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Brian Howard,Career,NBA,95,22,17.0,2.5,5.5,0.45799999999999996,0.0,0.1,0.222,2.5,5.4,0.462,0.45899999999999996,1.0,1.3,0.752,0.9,1.9,2.8,0.9,0.7,0.4,0.9,2.9,6.0
Dwight Howard,Career,NBA,1161.0,1050.0,32.8,5.9,10.1,0.586,0.0,0.1,0.159,5.9,10.0,0.589,0.5870000000000001,4.5,8.0,0.565,3.4,8.7,12.1,1.4,0.9,1.9,2.8,3.2,16.3
Greg Howard,Career,NBA,92.0,,9.3,1.3,3.3,0.38799999999999996,,,,,,,,0.8,1.2,0.6970000000000001,,,2.5,0.6,,,,1.3,3.4
Josh Howard,Career,NBA,507.0,403.0,30.3,5.4,12.2,0.44799999999999995,0.7,2.0,0.332,4.8,10.1,0.47100000000000003,0.47600000000000003,2.8,3.6,0.77,1.7,4.0,5.7,1.6,1.0,0.5,1.4,2.6,14.3
Juwan Howard,Career,NBA,1208.0,900.0,30.3,5.4,11.5,0.469,0.0,0.0,0.12,5.4,11.5,0.47,0.469,2.5,3.3,0.764,1.9,4.2,6.1,2.2,0.7,0.3,2.0,2.9,13.4
Markus Howard,Career,NBA,22,0,3.5,0.4,1.9,0.22,0.2,1.3,0.172,0.2,0.5,0.33299999999999996,0.28,0.0,0.1,0.5,0.0,0.3,0.3,0.4,0.1,0.0,0.3,0.5,1.1
Mo Howard,Career,NBA,32.0,,10.8,2.0,4.1,0.485,,,,,,,,0.8,1.1,0.6859999999999999,0.5,0.7,1.2,1.3,0.5,0.3,,1.6,4.8
Otis Howard,Career,NBA,14.0,,8.1,1.7,4.0,0.429,,,,,,,,0.8,1.6,0.478,1.3,1.6,2.9,0.4,0.1,0.1,0.5,1.7,4.2
Stephen Howard,Career,NBA,120,0,6.5,1.0,2.0,.481,0.0,0.0,,1.0,2.0,.481,.481,0.9,1.4,.631,0.6,0.9,1.4,0.2,0.3,0.2,0.5,1.2,2.8
William Howard,Career,NBA,2,0,6.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0
Bailey Howell,Career,NBA,950.0,,32.2,6.9,14.3,0.48,,,,,,,,5.0,6.6,0.762,,,9.9,2.0,,,,3.7,18.7
Bob Hubbard,Career,BAA,62,,,1.3,5.4,0.249,,,,,,,,0.9,1.4,0.674,,,,0.5,,,,1.2,3.6
Phil Hubbard,Career,NBA,665.0,287.0,23.9,4.0,8.1,0.495,0.0,0.0,0.038,4.0,8.1,0.498,0.495,2.8,4.0,0.706,2.3,3.1,5.3,1.3,0.9,0.1,2.0,3.1,10.9
Lester Hudson,Career,NBA,57.0,0.0,10.4,1.7,4.4,0.375,0.5,1.8,0.27699999999999997,1.2,2.7,0.441,0.431,0.9,1.1,0.8059999999999999,0.3,1.1,1.4,1.2,0.6,0.1,1.0,0.9,4.7
Lou Hudson,Career,NBA,890.0,,33.5,8.3,17.0,0.489,,,,,,,,3.5,4.4,0.797,1.2,1.9,4.4,2.7,1.4,0.3,1.6,2.7,20.2
Troy Hudson,Career,NBA,517.0,168.0,21.8,3.3,8.3,0.401,0.9,2.6,0.33899999999999997,2.4,5.7,0.429,0.45299999999999996,1.5,1.7,0.858,0.4,1.3,1.7,3.4,0.5,0.1,1.6,1.3,9.0
Marcelo Huertas,Career,NBA,76,1,14.6,1.6,3.9,0.409,0.3,1.1,0.25,1.3,2.9,0.46799999999999997,0.44299999999999995,0.5,0.6,0.7829999999999999,0.3,1.2,1.5,3.1,0.5,0.1,1.3,1.2,3.9
Kevin Huerter,Career,NBA,180,141,29.6,4.1,9.9,0.41700000000000004,2.0,5.4,0.377,2.1,4.5,0.46399999999999997,0.519,0.7,0.9,0.7929999999999999,0.7,2.8,3.5,3.3,1.0,0.4,1.4,2.3,11.0
Josh Huestis,Career,NBA,76,10,14.1,0.9,2.7,0.34600000000000003,0.5,1.6,0.312,0.4,1.1,0.4,0.441,0.1,0.3,0.24,0.6,1.7,2.4,0.3,0.2,0.6,0.4,1.1,2.5
Nate Huffman,Career,NBA,7,0,10.9,1.3,3.6,0.36,0.0,0.0,,1.3,3.6,0.36,0.36,0.7,1.1,0.625,1.3,2.0,3.3,0.7,0.1,0.4,0.4,1.9,3.3
Alfredrick Hughes,Career,NBA,68,0,12.7,2.2,5.5,0.409,0.0,0.3,0.17600000000000002,2.2,5.2,0.42,0.413,0.7,1.2,0.583,0.7,0.9,1.7,0.9,0.4,0.1,0.9,1.2,5.2
Eddie Hughes,Career,NBA,97.0,8.0,11.9,1.2,2.9,0.41600000000000004,0.3,0.8,0.364,0.9,2.1,0.436,0.466,0.4,0.5,0.6920000000000001,0.2,0.7,1.0,1.6,0.7,0.0,0.6,1.3,3.1
Elijah Hughes,Career,NBA,10,0,3.8,0.7,1.8,0.389,0.5,1.3,0.385,0.2,0.5,0.4,0.528,0.3,0.4,0.75,0.0,0.6,0.6,0.4,0.1,0.1,0.5,0.0,2.2
Kim Hughes,Career,TOT,425,,18.5,1.7,3.6,.479,0.0,0.0,,1.7,3.6,.479,.479,0.4,0.9,.397,2.1,3.4,5.6,0.9,1.0,1.2,1.0,3.0,3.8
Larry Hughes,Career,NBA,727,509,30.8,5.1,12.7,.406,0.7,2.3,.309,4.4,10.3,.428,.435,3.1,4.1,.757,1.0,3.2,4.2,3.1,1.5,0.4,2.1,2.3,14.1
Rick Hughes,Career,NBA,21,0,10.7,1.7,3.4,0.486,0.0,0.0,0.0,1.7,3.4,0.493,0.486,0.6,1.2,0.462,1.1,1.2,2.3,0.4,0.1,0.0,0.7,1.4,3.9
Robbie Hummel,Career,NBA,98,9,14.3,1.5,3.6,0.418,0.5,1.4,0.34299999999999997,1.0,2.1,0.469,0.48700000000000004,0.4,0.5,0.867,0.7,2.0,2.7,0.5,0.3,0.1,0.3,1.5,3.9
John Hummer,Career,NBA,327.0,,22.7,2.7,6.1,0.43799999999999994,,,,,,,,1.5,2.9,0.524,1.1,2.6,5.3,1.7,0.3,0.3,,2.8,6.9
Ryan Humphrey,Career,NBA,85.0,1.0,9.1,0.9,2.7,0.344,0.0,0.0,0.0,0.9,2.6,0.348,0.344,0.5,0.9,0.539,1.0,1.2,2.2,0.2,0.2,0.2,0.6,1.3,2.3
Isaac Humphries,Career,NBA,5,1,11.2,1.2,4.2,0.28600000000000003,0.6,2.2,0.273,0.6,2.0,0.3,0.35700000000000004,0.0,0.0,,0.8,1.4,2.2,0.0,0.2,0.0,0.0,1.4,3.0
Jay Humphries,Career,NBA,788.0,557.0,29.3,4.4,9.3,0.47600000000000003,0.3,0.9,0.297,4.2,8.4,0.496,0.491,2.0,2.5,0.782,0.7,1.9,2.5,5.5,1.5,0.1,1.9,2.8,11.1
Kris Humphries,Career,NBA,800.0,203.0,17.8,2.6,5.6,0.46299999999999997,0.1,0.2,0.293,2.5,5.4,0.47100000000000003,0.469,1.4,2.0,0.7,1.7,3.7,5.4,0.7,0.4,0.6,0.9,1.8,6.7
Hot Rod Hundley,Career,NBA,431,,22.2,3.2,9.2,0.34700000000000003,,,,,,,,2.0,2.8,0.721,,,3.3,3.4,,,,1.8,8.4
Brandon Hunter,Career,NBA,67.0,12.0,9.4,1.3,2.8,0.47600000000000003,0.0,0.0,0.0,1.3,2.8,0.484,0.47600000000000003,0.6,1.2,0.488,1.1,1.7,2.8,0.3,0.3,0.1,0.7,1.2,3.3
Cedric Hunter,Career,NBA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Hunter,Career,NBA,60,9,13.1,1.8,3.6,0.502,0.0,0.1,0.0,1.8,3.6,0.512,0.502,0.9,1.2,0.754,0.9,1.9,2.8,0.6,0.2,0.6,0.5,2.2,4.5
De'Andre Hunter,Career,NBA,83,80,31.8,4.7,10.9,0.433,1.7,4.7,0.355,3.0,6.2,0.491,0.509,2.1,2.6,0.799,0.7,4.0,4.7,1.9,0.7,0.3,1.6,2.8,13.2
Les Hunter,Career,TOT,468,,25.4,4.7,10.6,.443,0.1,0.4,.199,4.6,10.3,.451,.446,2.8,4.0,.699,2.6,4.6,6.9,1.6,,,2.4,3.3,12.3
Lindsey Hunter,Career,NBA,937.0,438.0,24.8,3.2,8.2,0.38799999999999996,1.1,3.2,0.36,2.0,5.0,0.405,0.45799999999999996,1.0,1.3,0.746,0.5,1.7,2.2,2.7,1.2,0.2,1.2,2.0,8.5
Othello Hunter,Career,NBA,23,0,5.4,0.7,1.4,0.469,0.0,0.0,,0.7,1.4,0.469,0.469,0.1,0.4,0.33299999999999996,0.7,0.9,1.6,0.0,0.1,0.3,0.2,0.7,1.4
R.J. Hunter,Career,NBA,45.0,1.0,8.8,1.1,2.9,0.371,0.6,2.0,0.295,0.5,1.0,0.523,0.47,0.2,0.2,0.818,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.9,3.0
Steven Hunter,Career,NBA,400,130,15.0,1.8,3.3,.560,0.0,0.0,.000,1.8,3.3,.560,.560,0.9,1.8,.485,1.2,2.0,3.2,0.2,0.1,1.1,0.6,1.6,4.5
Vince Hunter,Career,NBA,4,0,1.8,0.8,1.3,0.6,0.0,0.0,,0.8,1.3,0.6,0.6,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.3,0.3,0.0,1.5
Bobby Hurley,Career,NBA,269.0,62.0,15.5,1.3,3.8,0.353,0.2,0.9,0.272,1.1,2.9,0.377,0.384,0.9,1.2,0.769,0.2,0.9,1.1,3.3,0.4,0.0,1.4,1.3,3.8
Roy Hurley,Career,BAA,46,,,2.2,9.7,0.22399999999999998,,,,,,,,0.8,1.4,0.609,,,,0.7,,,,1.8,5.2
Geoff Huston,Career,NBA,496.0,186.0,24.7,3.7,7.7,0.483,0.0,0.1,0.254,3.7,7.5,0.486,0.485,1.4,2.0,0.708,0.4,1.0,1.4,5.1,0.7,0.1,1.8,1.7,8.8
Paul Huston,Career,BAA,46,,,1.1,4.7,0.237,,,,,,,,1.3,1.9,0.6970000000000001,,,,0.6,,,,1.8,3.6
Mel Hutchins,Career,NBA,437.0,,37.9,4.4,11.4,0.389,,,,,,,,2.3,3.4,0.6729999999999999,,,9.6,3.0,,,,2.9,11.1
Chandler Hutchison,Career,NBA,82.0,24.0,18.9,2.3,5.2,0.45299999999999996,0.4,1.2,0.29600000000000004,2.0,4.0,0.5,0.48700000000000004,0.9,1.5,0.61,0.6,3.4,4.0,0.8,0.6,0.2,0.8,1.5,6.0
