Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eligible,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame,hof_prob,3P,3PA,3P%,2P,2PA,2P%,eFG%
Ömer Aşık,12,Career,,,NBA,,471,262,19.6,2.0,3.8,.528,1.2,2.3,.551,2.2,4.9,7.1,0.6,0.4,0.7,1.2,2.0,5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,2.0,3.8,.528,.528
Vincent Askew,17,Career,,,NBA,,467,27,20.0,2.6,5.4,.479,1.7,2.3,.754,0.9,1.7,2.5,2.2,0.7,0.2,1.1,2.1,7.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,.300,2.4,4.9,.499,.494
Keith Askins,9,Career,,,NBA,,486,80,16.4,1.4,3.5,0.401,0.5,0.6,0.7170000000000001,1.1,1.9,2.9,0.8,0.6,0.3,0.7,2.3,3.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,0.355,0.8,1.9,0.44,0.483
Chucky Atkins,19,Career,,,NBA,,696,325,24.9,3.6,8.7,.412,1.4,1.8,.772,0.3,1.4,1.7,3.4,0.7,0.1,1.5,1.8,9.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.7,.364,2.2,5.0,.447,.489
Al Attles,11,Career,,,NBA,,711,,25.1,3.5,7.8,0.451,1.9,3.0,0.632,,,3.5,3.5,,,,3.4,8.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Stacey Augmon,17,Career,,,NBA,,1001.0,472.0,21.6,3.0,6.5,0.469,1.9,2.6,0.728,1.3,1.9,3.2,1.6,1.0,0.3,1.2,1.7,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.152,3.0,6.4,0.473,0.47
D.J. Augustin,21,Career,,,NBA,,915.0,326.0,23.8,3.1,7.6,0.41100000000000003,2.1,2.5,0.867,0.3,1.6,1.9,4.0,0.6,0.0,1.5,1.4,9.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.3,3.4,0.379,1.9,4.2,0.43700000000000006,0.495
Isaac Austin,14,Career,,,NBA,,432,166,19.3,3.0,6.7,.446,1.6,2.4,.670,1.4,3.3,4.7,1.2,0.5,0.5,1.6,2.2,7.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,.176,3.0,6.6,.451,.448
Dennis Awtrey,16,Career,,,NBA,,733.0,3.0,19.3,1.9,4.1,0.45899999999999996,1.0,1.6,0.652,1.3,2.9,4.6,2.0,0.4,0.3,1.1,2.3,4.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.9,4.1,0.45899999999999996,0.45899999999999996
John Bagley,12,Career,,,NBA,,665,401,25.7,3.5,8.1,.437,1.5,1.9,.779,0.6,2.0,2.6,6.0,1.1,0.1,2.3,1.6,8.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,.241,3.4,7.4,.456,.448
