Player,TRB,AST,STL,BLK,PTS
Chris Carr,2.2,1.0,0.3,0.2,6.7
Cory Carr,1.2,1.6,0.5,0.2,4.1
Kenny Carr,7.4,1.4,0.7,0.4,11.6
DeMarre Carroll,4.2,1.3,0.9,0.3,8.9
Joe Barry Carroll,7.7,1.8,1.0,1.6,17.7
Matt Carroll,1.9,0.7,0.5,0.1,6.6
Anthony Carter,2.1,3.8,1.0,0.2,4.8
Butch Carter,1.5,1.9,0.9,0.1,8.7
Howard Carter,1.3,1.1,0.3,0.1,5.3
Jevon Carter,1.7,1.5,0.7,0.3,4.2
Maurice Carter,1.1,0.4,0.0,0.0,4.2
Reggie Carter,1.2,1.5,0.4,0.1,3.5
Vince Carter,4.3,3.1,1.0,0.6,16.7
Wendell Carter,8.1,1.7,0.6,1.0,10.9
Michael Carter-Williams,4.4,4.4,1.3,0.5,10.3
Bill Cartwright,6.3,1.4,0.5,0.7,13.2
Alex Caruso,2.3,2.2,1.0,0.3,5.6
Sam Cassell,3.2,6.0,1.1,0.2,15.7
Omri Casspi,4.0,1.1,0.6,0.2,7.9
Harvey Catchings,5.0,0.8,0.4,1.7,3.2
Terry Catledge,6.4,0.9,0.6,0.2,12.7
Kelvin Cato,5.3,0.5,0.5,1.3,5.5
Bobby Cattage,1.4,0.1,0.2,0.0,3.1
Willie Cauley-Stein,6.1,1.5,0.9,0.8,9.3
Duane Causwell,4.2,0.4,0.4,1.4,4.9
Tyler Cavanaugh,2.7,0.6,0.2,0.1,3.8
Cedric Ceballos,5.3,1.2,0.7,0.3,14.3
John Celestand,0.7,1.3,0.4,0.0,2.3
Lionel Chalmers,0.9,1.4,0.4,0.0,3.1
Mario Chalmers,2.5,3.7,1.5,0.2,8.9
Tom Chambers,6.1,2.1,0.8,0.6,18.1
Tyson Chandler,9.0,0.8,0.5,1.2,8.2
Wilson Chandler,5.3,1.8,0.7,0.6,12.5
Rex Chapman,2.5,2.7,0.9,0.2,14.6
Joe Chealey,0.0,0.4,0.8,0.0,0.8
Calbert Cheaney,3.2,1.7,0.8,0.2,9.5
Maurice Cheeks,2.8,6.7,2.1,0.3,11.1
Will Cherry,0.6,1.0,0.8,0.1,1.9
Derrick Chievous,2.4,0.7,0.5,0.1,7.1
Pete Chilcutt,3.3,0.8,0.5,0.4,4.3
Josh Childress,4.7,1.6,0.9,0.5,9.1
Randolph Childress,0.5,1.0,0.3,0.0,2.4
Chris Childs,2.4,4.9,0.9,0.1,6.9
Chris Chiozza,1.4,2.6,0.5,0.2,4.1
Marquese Chriss,4.9,1.1,0.7,0.8,8.0
Doug Christie,4.1,3.6,1.9,0.5,11.2
Dionte Christmas,1.2,0.3,0.1,0.1,2.3
Semaj Christon,1.4,2.0,0.4,0.1,2.9
Carlos Clark,0.9,0.7,0.5,0.0,2.4
Earl Clark,3.0,0.5,0.3,0.5,4.4
Gary Clark,2.6,0.5,0.3,0.4,3.3
Ian Clark,1.3,1.2,0.4,0.1,5.6
Keon Clark,5.9,0.9,0.5,1.6,8.2
Brandon Clarke,5.8,1.5,0.8,0.8,11.9
Jordan Clarkson,3.2,2.5,0.9,0.1,15.0
Gian Clavell,1.0,0.4,0.3,0.0,2.9
Victor Claver,2.2,0.7,0.4,0.2,3.2
Nicolas Claxton,3.9,1.0,0.4,1.0,6.5
Speedy Claxton,2.5,4.3,1.5,0.1,9.3
Mateen Cleaves,1.0,1.9,0.4,0.0,3.6
Chris Clemons,0.9,0.8,0.3,0.2,4.9
Antonius Cleveland,0.8,0.1,0.3,0.3,1.2
Keith Closs,2.9,0.3,0.2,1.3,3.9
Amir Coffey,0.9,0.6,0.2,0.0,3.1
Richard Coffey,1.5,0.1,0.1,0.1,1.3
Fred Cofield,1.0,1.7,0.4,0.1,3.4
Norris Cole,2.0,2.7,0.8,0.1,7.0
Ben Coleman,4.1,0.6,0.4,0.4,6.6
Derrick Coleman,9.3,2.5,0.8,1.3,16.5
Norris Coleman,2.8,0.4,0.4,0.2,5.3
Bimbo Coles,2.1,3.9,0.9,0.2,7.8
Jason Collier,2.9,0.3,0.2,0.2,5.6
Don Collins,2.8,1.8,1.1,0.3,9.8
Doug Collins,3.2,3.3,1.2,0.3,17.9
James Collins,0.6,0.1,0.3,0.1,2.6
Jarron Collins,2.9,0.8,0.3,0.2,3.9
Jason Collins,3.7,0.9,0.5,0.5,3.6
John Collins,8.6,1.5,0.6,1.0,16.6
Mardy Collins,1.8,1.7,0.6,0.1,3.9
Sherron Collins,0.3,0.4,0.1,0.0,0.9
Zach Collins,4.0,0.9,0.3,0.7,5.7
Kyle Collinsworth,3.3,1.8,0.5,0.3,3.2
Darren Collison,2.7,5.0,1.2,0.1,12.5
Nick Collison,5.2,1.0,0.5,0.5,5.9
Bonzie Colson,3.8,0.4,0.6,0.1,4.9
Sean Colson,0.5,0.8,0.1,0.0,1.2
Steve Colter,2.0,2.8,0.9,0.1,6.3
Leroy Combs,1.2,0.8,0.5,0.4,4.5
Dallas Comegys,3.2,0.7,0.5,0.9,6.0
Mike Conley,3.0,5.6,1.4,0.2,14.9
Marty Conlon,3.5,1.0,0.4,0.2,6.5
Pat Connaughton,3.1,1.3,0.4,0.3,5.1
Lester Conner,2.7,3.9,1.6,0.1,6.3
Will Conroy,0.7,1.0,0.0,0.0,0.4
Anthony Cook,3.7,0.3,0.4,0.8,3.6
Brian Cook,2.6,0.6,0.3,0.3,5.5
Daequan Cook,2.1,0.7,0.4,0.1,6.4
Darwin Cook,2.1,3.7,1.7,0.3,9.5
Jeff Cook,4.5,1.4,0.6,0.4,5.3
Omar Cook,0.6,2.1,0.7,0.0,1.7
Quinn Cook,1.7,1.6,0.3,0.0,6.4
